Color,Magnitude
6.241430078204786014e-01,2.501830170085980143e+01
3.221922559480745463e-01,2.522842415968013086e+01
2.928458558732209838e-01,2.490204929105544096e+01
1.013157529498833753e+00,2.460886173725690895e+01
-3.725032845175277885e-01,2.536439988571748572e+01
3.493946564400616239e-01,2.490885880090966253e+01
-5.425154609111615400e-02,2.455717501427292504e+01
-5.993612121696756390e-01,2.516714977954410415e+01
9.807465275068771859e-01,2.465251455155728522e+01
-4.999547377057389497e-01,2.504988067929738804e+01
-4.505826350644532852e-01,2.563688360632712104e+01
6.486622751662238784e-01,2.443414895585107516e+01
-1.470683584463472471e-01,2.508402749764717754e+01
1.133014166317774851e+00,2.471203718374566094e+01
-4.642948927611776355e-01,2.518241600441950112e+01
-3.034708092177389460e-01,2.536564905971307837e+01
4.694956398277732035e-01,2.454386846156623037e+01
-2.184245587324937787e-01,2.497702815398464793e+01
-3.292262835153962897e-01,2.541197305571182596e+01
2.440326956234493139e-01,2.513884106084152137e+01
-2.650536405564345444e-01,2.504824585563535067e+01
5.797777071153333850e-01,2.463601084207283520e+01
1.013703416290816506e-01,2.512367888634885915e+01
7.727685827202890323e-02,2.543915286598402048e+01
-6.913234891871056220e-02,2.506824284233358924e+01
-6.176757453667249820e-01,2.568227878075271065e+01
-1.396169987337962937e-01,2.488985778795178661e+01
-1.295564599216945112e-01,2.491644140948560704e+01
2.670674357564273294e-01,2.529483158425250267e+01
-2.806116616382858808e-01,2.524616525578553095e+01
9.563426114509852027e-01,2.456078281906354732e+01
-2.808893136840033833e-01,2.542741524343780668e+01
5.237094652842699816e-02,2.513635108698527176e+01
5.894492955661760902e-01,2.531284281163448924e+01
-5.572694479372586329e-02,2.520805984954801815e+01
-2.659245395879494822e-02,2.509504045739733513e+01
5.020995987071259492e-01,2.477531226269213960e+01
-3.285801412421953671e-01,2.543136418346090721e+01
2.199533230838426334e-01,2.463234440380888657e+01
-1.060482832128727182e+00,2.517867548079021844e+01
-8.228750603871333169e-01,2.535888298233036409e+01
-6.658714230727689198e-01,2.542629890466244902e+01
-9.001632877866327931e-02,2.515525889303694029e+01
-2.864557755596734978e-01,2.523584402251956504e+01
3.257186315714477587e-02,2.499051844217162710e+01
1.378704341401089550e+00,2.441747434216825141e+01
-7.927226423533326738e-01,2.564377459881721677e+01
3.236138101465790839e-01,2.492118248221956733e+01
-2.549663900163103847e-01,2.542423601290990121e+01
1.798586458222857232e-01,2.495926281610589825e+01
-2.127829221013755046e-01,2.504463487170154323e+01
3.822752173316636970e-01,2.548123564447914546e+01
